pattern,lib,users,faultPercentage,libnum,failThreshold,minCalls,breakDuration,totalExecutionTime,successTimePerRequest,rel_totalExecutionTime,rel_successTimePerRequest,local_dist_to_origin,global_dist_to_origin
circuit_breaker,polly,150,25,1,10,2,100,1651.0,129.75,0.12013681060282172,0.5617842073538276,0.4062230599645881,0.4677561582247081
circuit_breaker,polly,150,25,1,10,2,200,1782.0,99.35,0.2321504916631039,0.19529837251356227,0.21451725465084037,0.7189475722148678
circuit_breaker,polly,150,25,1,10,2,300,2257.5,114.55,0.6387345019238991,0.37854128993369496,0.5250120342109489,0.6624071943162881
circuit_breaker,polly,150,25,1,10,2,400,2598.0,116.5,0.9298845660538692,0.40204942736588306,0.7163550265861289,0.6967857214083812
circuit_breaker,polly,150,25,1,10,2,500,2680.0,109.19999999999999,1.0,0.3140446051838455,0.741155858792561,0.6502468440087324
circuit_breaker,polly,150,25,1,10,4,100,1701.0,149.1,0.1628901239846088,0.7950572634116938,0.5738681227405006,0.2833866152426188
circuit_breaker,polly,150,25,1,10,4,200,1636.0,122.05,0.10731081658828559,0.4689572031344183,0.3401738303636103,0.16923108632919692
circuit_breaker,polly,150,25,1,10,4,300,1648.5,111.2,0.11799914493373237,0.33815551537070526,0.25325180234375355,0.2015353706112869
circuit_breaker,polly,150,25,1,10,4,400,1655.0,93.19999999999999,0.12355707567336469,0.12115732368896907,0.12236308273418742,0.24440958160596113
circuit_breaker,polly,150,25,1,10,4,500,1790.0,83.15,0.23899102180418982,0.0,0.16899217216044465,0.41395468646380745
circuit_breaker,polly,150,25,1,10,6,100,1677.5,152.2,0.14279606669516887,0.832429174201326,0.5972139678227195,0.31472280231681443
circuit_breaker,polly,150,25,1,10,6,200,1667.0,139.95,0.13381787088499358,0.6847498493068113,0.4933505744872978,0.25519601556875376
circuit_breaker,polly,150,25,1,10,6,300,1639.5,125.3,0.11030354852501069,0.5081374321880651,0.3676754838222762,0.2065610596013608
circuit_breaker,polly,150,25,1,10,6,400,1583.5,109.9,0.06241983753740915,0.3224834237492466,0.23226256124398598,0.21698731400460458
circuit_breaker,polly,150,25,1,10,6,500,1606.0,100.4,0.08165882855921335,0.2079566003616637,0.15797802365462688,0.24930182424615552
circuit_breaker,polly,150,25,1,10,8,100,1691.0,159.25,0.15433946130825138,0.9174201326100061,0.6578299054600217,0.34629226303410277
circuit_breaker,polly,150,25,1,10,8,200,1665.0,146.0,0.13210773834972211,0.7576853526220615,0.5438471973403449,0.28907820806538576
circuit_breaker,polly,150,25,1,10,8,300,1694.5,137.2,0.1573321932449765,0.6515973477998793,0.4739897270464369,0.2508691934300341
circuit_breaker,polly,150,25,1,10,8,400,1872.5,141.0,0.3095339888841385,0.6974080771549126,0.5395318880082245,0.2830426052209614
circuit_breaker,polly,150,25,1,10,8,500,2277.5,158.25,0.6558358272766139,0.9053646775165763,0.7905080112289485,0.37172259739171865
circuit_breaker,polly,150,25,1,10,10,100,1686.5,159.95,0.15049166310389056,0.9258589511754068,0.6632731481582076,0.35678331186130335
circuit_breaker,polly,150,25,1,10,10,200,1678.0,151.25,0.14322359982898675,0.8209764918625678,0.589285754001801,0.3162556659470332
circuit_breaker,polly,150,25,1,10,10,300,1701.0,148.55,0.1628901239846088,0.7884267631103076,0.5692758352856365,0.32670697830537593
circuit_breaker,polly,150,25,1,10,10,400,1722.0,142.8,0.18084651560495937,0.7191078963230864,0.524319382037642,0.321165820915901
circuit_breaker,polly,150,25,1,10,10,500,1787.0,146.14999999999998,0.2364258230012826,0.7594936708860757,0.5624623569172609,0.3870656276278937
circuit_breaker,polly,150,25,1,20,2,100,1600.0,130.75,0.07652843095339888,0.5738396624472574,0.40935837535206937,0.20762672408921554
circuit_breaker,polly,150,25,1,20,2,200,1586.0,104.25,0.0645575032064985,0.25437010247136826,0.18556915187006626,0.20077060227310664
circuit_breaker,polly,150,25,1,20,2,300,1777.0,93.35,0.2278751603249252,0.12296564195298361,0.18309510888336109,0.27437901127196357
circuit_breaker,polly,150,25,1,20,2,400,2210.0,108.35,0.5981188542112014,0.3037974683544303,0.47436223792660887,0.5297352704823749
circuit_breaker,polly,150,25,1,20,2,500,2463.5,97.4,0.814878153056862,0.17179023508137434,0.5888710763820364,0.5594488619971927
circuit_breaker,polly,150,25,1,20,4,100,1665.0,147.7,0.13210773834972211,0.778179626280892,0.5581290107540313,0.28594862393065706
circuit_breaker,polly,150,25,1,20,4,200,1646.0,129.85000000000002,0.115861479264643,0.5629897528631709,0.4064365536011282,0.19614682237182915
circuit_breaker,polly,150,25,1,20,4,300,1671.5,113.75,0.13766566908935443,0.3688969258589512,0.27842124411941355,0.18655944883392747
circuit_breaker,polly,150,25,1,20,4,400,1948.5,116.55,0.3745190252244549,0.4026522001205545,0.38884013072019646,0.2516145005114096
circuit_breaker,polly,150,25,1,20,4,500,2054.5,110.0,0.46515604959384355,0.3236889692585895,0.4007147983874805,0.27488493753362225
circuit_breaker,polly,150,25,1,20,6,100,1686.0,155.7,0.15006412997007268,0.8746232670283303,0.627489084499079,0.32703339769322964
circuit_breaker,polly,150,25,1,20,6,200,1678.0,142.4,0.14322359982898675,0.7142857142857144,0.5151296347428611,0.2600803129991432
circuit_breaker,polly,150,25,1,20,6,300,1616.5,127.0,0.09063702436938863,0.5286317058468957,0.3792535765244251,0.21993889845314754
circuit_breaker,polly,150,25,1,20,6,400,1662.5,119.75,0.12997007268063274,0.4412296564195298,0.3252505415035502,0.25015551409354425
circuit_breaker,polly,150,25,1,20,6,500,1611.5,108.95,0.08636169303120991,0.31103074141048825,0.22825256200706154,0.233545967686744
circuit_breaker,polly,150,25,1,20,8,100,1694.0,158.95,0.1569046601111586,0.913803496081977,0.6556126531025167,0.34346842360975177
circuit_breaker,polly,150,25,1,20,8,200,1684.5,149.55,0.14878153056861906,0.8004822182037373,0.5757202990596721,0.2927436866189608
circuit_breaker,polly,150,25,1,20,8,300,1696.5,138.3,0.15904232578024796,0.6648583484026523,0.48338963829931914,0.2556051491805002
circuit_breaker,polly,150,25,1,20,8,400,1965.0,148.35000000000002,0.38862761864044465,0.7860156720916218,0.6200209926864519,0.2951561621697439
circuit_breaker,polly,150,25,1,20,8,500,2265.5,156.3,0.645575032064985,0.8818565400843884,0.7727994821799878,0.3600300958821138
